,Entity,CountryCode,Year,"Birth rate, crude (per 1,000 people)",CO2 emissions (metric tons per capita),"Death rate, crude (per 1,000 people)",Exports of goods and services (current US$),GDP per capita (current US$),GNI (current US$),"Life expectancy at birth, total (years)",Merchandise exports (current US$),Merchandise imports (current US$),Mobile cellular subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)",Rural population (% of total population),Urban population,Urban population (% of total),Renewables (% equivalent primary energy),Continent
60,Australia,AUS,1965,19.6,10.6223213909378,8.8,3428155448.53847,2276.57495341523,25613170567.8127,70.850243902439,3005300000.0,3762420000.0,0.0,18.6,16.515,9507272.0,83.485,5.5626216,Oceania
61,Australia,AUS,1966,19.8,10.3280924384173,8.9,3525590771.64296,2338.90069302766,26905588531.7505,70.819512195122,3170940000.0,3612340000.0,,18.3,16.145,9769946.0,83.855,5.0718946,Oceania
62,Australia,AUS,1967,19.4,10.9556247987118,8.7,3915332064.06093,2574.67088990526,30004479784.9703,70.8692682926829,3478050000.0,3923920000.0,,18.3,15.783,9936764.0,84.217,4.9495487,Oceania
63,Australia,AUS,1968,20.1,11.2101677075527,9.1,4016127225.89316,2718.12417239129,32122298129.6898,70.9190243902439,3526210000.0,4365980000.0,,18.2,15.427,10156372.0,84.573,4.8654675,Oceania
64,Australia,AUS,1969,20.4,11.6005543504852,8.7,4377869862.24661,2985.1229621611,36029790570.0526,70.9687804878049,4220270000.0,4537680000.0,,18.1,15.078,10413985.0,84.922,5.086988,Oceania
65,Australia,AUS,1970,20.6,11.8028905412969,9.0,5354462985.77668,3297.78365889097,40598051293.5379,71.01853658536591,4769520000.0,5056460000.0,0.0,17.8,14.735,10664094.0,85.265,5.4214506,Oceania
66,Australia,AUS,1971,21.4,11.8091175697612,8.6,5715085675.88756,3487.6149242355104,44448426475.5292,71.0682926829268,5212500000.0,5227760000.0,,17.4,14.4,11074072.0,85.6,5.822727,Oceania
67,Australia,AUS,1972,20.1,11.9516315549822,8.3,6663551401.86916,3940.86198055377,51242990654.2056,71.4575609756098,6461220000.0,5028010000.0,,16.8,14.319,11290185.0,85.681,5.599285,Oceania
68,Australia,AUS,1973,18.5,12.7796868460389,8.3,9019859064.70211,4759.989619930499,62849455477.2582,71.84682926829271,9559100000.0,7392740000.0,,16.2,14.239,11474822.0,85.761,5.5886645,Oceania
69,Australia,AUS,1974,17.8,12.559668731327,8.4,11680176860.7222,6469.08398301353,87815770081.0612,72.2360975609756,11015900000.0,11981600000.0,,15.3,14.159,11779960.0,85.841,5.9551096,Oceania
70,Australia,AUS,1975,16.7,12.6598998056575,7.8,13874095316.1273,6987.820994580029,96142291410.6241,72.6253658536586,11948400000.0,10696900000.0,0.0,14.4,14.079,11937005.0,85.921,6.297008,Oceania
71,Australia,AUS,1976,16.2,12.416791776526802,8.0,14185049792.0081,7469.203190703471,103305180889.953,73.01463414634149,13193300000.0,12232400000.0,0.0,13.5,14.0,12068380.0,86.0,5.7934213,Oceania
72,Australia,AUS,1977,15.9,13.2318961386697,7.6,15449644413.8564,7757.71557401874,108500802936.453,73.34439024390241,13367200000.0,13511300000.0,0.0,12.7,14.06,12196605.0,85.94,5.269775,Oceania
73,Australia,AUS,1978,15.6,14.069858615406,7.5,16123392736.296,8233.591803951591,116476426799.007,73.6741463414634,14415500000.0,15566700000.0,0.0,12.0,14.119,12330794.0,85.881,5.508696,Oceania
74,Australia,AUS,1979,15.3,14.1290919801571,7.3,19275247074.8608,9272.75738157274,132493468135.863,74.00390243902442,18663400000.0,18190500000.0,0.0,11.3,14.179,12456060.0,85.821,5.1658406,Oceania
75,Australia,AUS,1980,15.3,15.024916008712198,7.3,24616155988.8579,10186.1282398774,147019498607.242,74.3336585365854,21944000000.0,22399000000.0,0.0,10.8,14.24,12599859.0,85.76,4.862272,Oceania
76,Australia,AUS,1981,15.7,15.4325008374087,7.3,26334610472.5415,11826.0429014143,173803552769.07,74.66341463414629,21477000000.0,26215000000.0,0.0,10.4,14.3,12792439.0,85.7,4.9303546,Oceania
77,Australia,AUS,1982,15.8,15.4249318091975,7.5,26231932031.3362,12758.6710307245,190743683107.13895,74.9048780487805,21360000000.0,26667000000.0,0.0,10.1,14.36,12998439.0,85.64,4.6367826,Oceania
78,Australia,AUS,1983,15.8,14.6400841303923,7.3,24060832943.3786,11510.1432539896,174766495086.57,75.14634146341459,20113000000.0,21458000000.0,0.0,9.8,14.42,13152790.0,85.58,4.5344815,Oceania
79,Australia,AUS,1984,15.0,15.2209752959341,7.1,26236189096.1782,12429.090984006,189486506067.74103,75.3878048780488,23111000000.0,25919000000.0,0.0,9.6,14.48,13293229.0,85.52,4.7184544,Oceania
80,Australia,AUS,1985,15.7,15.3084102043407,6.6,27497123571.3738,11434.3544445241,175805016491.52402,75.62926829268291,22604000000.0,25889000000.0,0.0,9.3,14.54,13466787.0,85.46,4.863155,Oceania
81,Australia,AUS,1986,15.0,14.9805731533736,7.3,27321628427.5322,11361.2700179349,177320229434.807,75.87073170731709,22569000000.0,26104000000.0,0.0,9.1,14.6,13679714.0,85.4,4.7985597,Oceania
82,Australia,AUS,1987,15.4,15.7469578022492,7.5,29290629962.9434,11625.5567567271,184062996294.33603,76.1517073170732,26621000000.0,29318000000.0,0.0271081223056209,8.7,14.6,13889371.0,85.4,4.532893,Oceania
83,Australia,AUS,1988,14.9,15.7961677816625,7.2,37674621653.085,14261.3351903835,229264406286.379,76.4326829268293,33233000000.0,36095000000.0,0.190631230389495,8.4,14.6,14118499.0,85.4,4.6416802,Oceania
84,Australia,AUS,1989,14.9,16.519862915120402,7.3,45334256168.0645,17810.9536070722,289369758163.016,76.71365853658541,37125000000.0,44933000000.0,0.560966912334359,8.0,14.6,14359498.0,85.4,4.4199533,Oceania
85,Australia,AUS,1990,15.4,15.4612621080451,7.0,47071950750.2886,18221.6912110476,298588687956.906,76.9946341463415,39752000000.0,41985000000.0,1.081736076939,7.6,14.6,14573595.0,85.4,4.459391,Oceania
86,Australia,AUS,1991,14.9,15.1339067345522,6.9,52249430970.8814,18836.780584744098,312419747272.585,77.2756097560976,41854000000.0,41648000000.0,1.68262799845788,7.1,14.6,14760536.0,85.4,4.7400618,Oceania
87,Australia,AUS,1992,15.1,15.322589368390998,7.1,54226716911.482,18591.2205236257,314262862416.365,77.37804878048779,42824000000.0,43807000000.0,2.83537202477054,6.7,14.434,14969772.0,85.566,4.731717,Oceania
88,Australia,AUS,1993,14.7,15.7060181694685,6.9,54747048903.8786,17657.2442411201,302910342889.264,77.87804878048779,42723000000.0,45577000000.0,3.89287946646564,6.3,14.252,15149099.0,85.748,4.7594285,Oceania
89,Australia,AUS,1994,14.5,15.5813099411929,7.1,58015219647.1809,18079.2639426659,313604289173.296,77.87804878048779,47528000000.0,53425000000.0,6.807810813392769,6.0,14.072,15342444.0,85.928,4.5271807,Oceania
90,Australia,AUS,1995,14.2,15.6009828463922,6.9,65793733293.7333,20360.1822127719,355270270270.27,77.82926829268291,53111000000.0,61283000000.0,12.3701779617279,5.7,13.894,15561076.0,86.106,4.239725,Oceania
91,Australia,AUS,1996,13.9,16.506005898094,7.0,75814112291.3505,21917.719218006103,387151745068.285,78.07804878048779,60301000000.0,65427000000.0,21.756867604335,5.6,13.717,15799280.0,86.283,4.236591,Oceania
92,Australia,AUS,1997,13.6,16.5166496192688,7.0,83327594302.7078,23522.7787661215,420947722648.302,78.4804878048781,62910000000.0,65892000000.0,24.6613747601334,5.4,13.496,16017946.0,86.504,4.1458387,Oceania
93,Australia,AUS,1998,13.3,16.9400074287852,6.8,78237807773.1805,21340.0621127075,386702163738.72296,78.63170731707321,55893000000.0,64630000000.0,26.167157376243896,5.3,13.273,16227489.0,86.727,4.037756,Oceania
94,Australia,AUS,1999,13.1,17.192235231956,6.8,71357312946.4845,20536.4123093012,376520867276.601,78.9317073170732,56080000000.0,69158000000.0,33.188913820137,5.3,13.053,16455589.0,86.947,4.0089335,Oceania
95,Australia,AUS,2000,13.0,17.2025244087088,6.7,80650631162.4694,21665.1154539573,402961753438.42206,79.2341463414634,63870000000.0,71529000000.0,44.456266679862,5.1,12.835,16694712.0,87.165,3.9888778,Oceania
96,Australia,AUS,2001,12.7,16.735067480554303,6.6,83817752495.4384,19495.1459333809,367838359987.12,79.6341463414634,63387000000.0,63888000000.0,57.1245096218519,5.0,12.622,16962691.0,87.378,3.870762,Oceania
97,Australia,AUS,2002,12.8,17.3723177992408,6.8,81500104646.2955,20059.4520721372,383468501465.048,79.9365853658537,65033000000.0,72689500000.0,64.26700989747461,5.0,12.459,17203032.0,87.541,3.9314504,Oceania
98,Australia,AUS,2003,12.6,16.906198166410302,6.6,88243447874.1992,23440.0053221856,453198019801.98,80.2390243902439,70377000000.0,89084400000.0,71.903538298595,4.9,12.305,17447271.0,87.695,4.014969,Oceania
99,Australia,AUS,2004,12.3,17.0303413257549,6.5,104239578887.466,30440.8548786229,595206999573.197,80.490243902439,86564508000.0,109384000000.0,81.5095852156253,4.9,12.151,17681720.0,87.849,4.0365605,Oceania
100,Australia,AUS,2005,12.8,17.1743862651264,6.4,125269132461.284,33982.9504271591,667298902420.689,80.84146341463409,106097168000.0,125281000000.0,89.7628623066931,4.8,12.0,17947424.0,88.0,4.3135533,Oceania
101,Australia,AUS,2006,12.9,17.2938738229482,6.4,146423330338.425,36084.8589777475,717819706498.952,81.0414634146342,123437404000.0,139253000000.0,94.7014037422295,4.7,11.85,18245199.0,88.15,4.233413,Oceania
102,Australia,AUS,2007,14.1,17.4670022470184,6.7,169723639789.589,40957.830439248704,814985475386.6691,81.2926829268293,141358364000.0,165336000000.0,100.064604268965,4.5,11.702,18390354.0,88.298,3.9767227,Oceania
103,Australia,AUS,2008,14.0,17.7040796829998,6.7,208367949865.712,49628.1151270179,1011472694717.99,81.39512195121951,187256679000.0,200273000000.0,102.194053664352,4.4,11.555,18793855.0,88.445,3.6813264,Oceania
104,Australia,AUS,2009,13.9,17.6318330513514,6.5,208703431011.633,42715.1322619629,894210720070.682,81.54390243902441,154331058000.0,165471000000.0,100.739011404518,4.2,11.41,19216677.0,88.59,3.9202662,Oceania
105,Australia,AUS,2010,13.7,16.710904353943697,6.5,222103408790.628,51845.6548605562,1097882498018.15,81.6951219512195,212634216000.0,201639000000.0,100.426307443402,4.1,11.267,19549433.0,88.733,4.3128047,Oceania
106,Australia,AUS,2011,13.6,16.519209916694802,6.6,293849945775.412,62216.5471294133,1334086562161.1,81.89512195121951,270386785000.0,243701000000.0,104.610550956231,3.8,11.125,19854696.0,88.875,5.698981,Oceania
107,Australia,AUS,2012,13.7,,6.6,327166426067.23,67646.1038529626,1490651680758.92,82.04634146341459,256423244000.0,260940000000.0,105.585694973435,3.6,10.985,20231555.0,89.015,5.700209,Oceania
108,Australia,AUS,2013,13.2,,6.3,310122088847.851,67627.7733345844,1524557299681.95,82.1975609756098,252643278202.601,242132000000.0,106.843497367233,3.4,10.847,20617405.0,89.153,6.525869,Oceania
109,Australia,AUS,2014,,,,304086110346.094,61925.49606218559,1415798219039.75,,240228511864.362,237600000000.0,131.23054684881902,3.2,10.711,20974643.0,89.289,5.979823,Oceania
110,Australia,AUS,2015,,,,,,,,,,,3.0,,,,6.290021,Oceania
449,New Zealand,NZL,1965,22.9,5.212262973672201,8.7,,2151.29492695315,,71.2268292682927,1006540000.0,1052150000.0,0.0,18.7,21.109,2073571.0,78.891,39.252773,Oceania
450,New Zealand,NZL,1966,22.5,5.23759258567211,8.9,,2191.3125419395897,,71.1243902439025,1076340000.0,1094980000.0,,18.3,20.579,2125227.0,79.421,39.54505,Oceania
451,New Zealand,NZL,1967,22.5,5.00761352373261,8.4,,2188.3991386256102,,71.4731707317073,993079000.0,955241000.0,,17.9,20.148,2175248.0,79.852,39.84817,Oceania
452,New Zealand,NZL,1968,22.7,4.90783668716568,8.9,,1885.15615175625,,71.1243902439025,1009790000.0,894880000.0,,17.5,19.723,2206092.0,80.277,41.174576,Oceania
453,New Zealand,NZL,1969,22.3,5.147130698211191,8.6,,2077.8955430230103,,71.4731707317073,1210610000.0,1002960000.0,,17.2,19.305,2237511.0,80.695,40.150276,Oceania
454,New Zealand,NZL,1970,22.1,5.05032803216281,8.8,1434744204.27819,,6412570948.59447,71.2731707317073,1222590000.0,1245440000.0,0.0,16.9,18.894,2279646.0,81.106,38.82334,Oceania
455,New Zealand,NZL,1971,22.6,5.278783385909571,8.5,1779624350.8367,2772.95298032118,7813040969.4172,71.7731707317073,1361280000.0,1347630000.0,,16.5,18.509,2324938.0,81.491,41.630173,Oceania
456,New Zealand,NZL,1972,21.8,5.57771927407969,8.5,2340079484.68644,3294.60600175551,9409333981.526491,71.82926829268291,1792200000.0,1522680000.0,,16.2,18.181,2375942.0,81.819,41.19133,Oceania
457,New Zealand,NZL,1973,20.5,6.146958430419071,8.6,3073085153.7498302,4323.28350596777,12604702935.8564,71.6682926829268,2596030000.0,2176250000.0,,15.8,17.859,2432441.0,82.141,39.168335,Oceania
458,New Zealand,NZL,1974,19.6,6.20322948705229,8.3,2875067981.24655,4610.73341524917,13749310535.0248,71.92439024390241,2435030000.0,3648480000.0,,15.4,17.54,2493343.0,82.46,40.757793,Oceania
459,New Zealand,NZL,1975,18.3,5.923148778826509,8.1,2971975717.18997,4171.7418253040005,12575107296.1373,72.21951219512201,2162050000.0,3155210000.0,0.0,14.9,17.226,2552005.0,82.774,43.620903,Oceania
460,New Zealand,NZL,1976,17.7,6.18456261051278,8.1,3630395557.28761,4373.76817364763,13177123928.2931,72.42195121951221,2794630000.0,3253510000.0,0.0,14.4,16.972,2582586.0,83.028,39.515545,Oceania
461,New Zealand,NZL,1977,17.3,6.50615729760913,8.3,4039083144.07031,4950.60703553683,14991606596.2279,72.1682926829268,3195970000.0,3361150000.0,0.0,13.9,16.872,2593760.0,83.128,36.93731,Oceania
462,New Zealand,NZL,1978,16.3,5.7697798923491,7.9,4937532922.2408,5937.12432578886,17922240802.6756,73.019512195122,3738440000.0,3491020000.0,0.0,13.5,16.771,2597744.0,83.229,39.57416,Oceania
463,New Zealand,NZL,1979,16.8,5.2993988420714,8.1,5935350195.33206,6667.9980282981605,20201342281.8792,73.06829268292691,4705620000.0,4552760000.0,0.0,13.1,16.672,2590668.0,83.328,44.902813,Oceania
464,New Zealand,NZL,1980,16.2,5.6084638118796,8.5,6695591102.10384,7467.23689342273,22650067554.5262,72.82926829268291,5421000000.0,5473000000.0,0.0,12.7,16.572,2597030.0,83.428,46.8752,Oceania
465,New Zealand,NZL,1981,16.2,5.2888633236263605,8.0,6818578469.736079,7813.80252523755,23759886770.4604,73.62195121951221,5622000000.0,5734000000.0,0.0,12.4,16.489,2609635.0,83.511,47.395737,Oceania
466,New Zealand,NZL,1982,15.8,5.7791761984728005,8.0,6701834741.4421,7656.46634006452,23416605972.3234,73.7243902439024,5571000000.0,5782000000.0,0.0,12.1,16.448,2636985.0,83.552,43.06933,Oceania
467,New Zealand,NZL,1983,15.8,5.615176132278941,8.1,6906195649.31651,7598.26127925657,23300473186.1199,73.7756097560976,5414000000.0,5333000000.0,0.0,11.9,16.408,2674359.0,83.592,44.425842,Oceania
468,New Zealand,NZL,1984,16.0,5.9792860462954405,8.2,6891836565.38422,6713.704200446789,20492585295.0327,74.37073170731709,5518000000.0,6203000000.0,0.0,11.6,16.367,2698921.0,83.633,43.670025,Oceania
469,New Zealand,NZL,1985,15.9,6.71490930368637,8.4,7232115856.777491,7600.61215354783,23207161125.3197,73.82926829268291,5720000000.0,5992000000.0,0.0,11.3,16.327,2716946.0,83.673,41.672558,Oceania
470,New Zealand,NZL,1986,16.3,7.05205341465669,8.3,8152209706.379379,9427.58494637182,29035699197.2962,74.12195121951221,5880000000.0,6063000000.0,0.0,11.0,16.22,2719750.0,83.78,43.008366,Oceania
471,New Zealand,NZL,1987,16.8,7.363341375519179,8.4,10547338842.4636,12330.9161688967,38181987000.9285,74.1780487804878,7195000000.0,7276000000.0,0.0724873615264872,10.6,15.975,2751315.0,84.025,42.31165,Oceania
472,New Zealand,NZL,1988,17.3,7.73516537735274,8.4,11833201095.0081,13759.071803833998,43148470209.3398,74.42439024390241,8784000000.0,7342000000.0,0.300048187738951,10.2,15.732,2766856.0,84.268,42.15485,Oceania
473,New Zealand,NZL,1989,17.5,7.70034432589719,8.2,11572971355.862,13312.3767960348,41939989347.2214,74.8243902439024,8875000000.0,8784000000.0,0.859906886068884,9.7,15.494,2788022.0,84.506,47.136673,Oceania
474,New Zealand,NZL,1990,17.5,7.106478166856871,8.1,12175141875.3362,13663.03308699,43598278850.1763,75.37804878048779,9394000000.0,9501000000.0,1.5921209729418897,9.2,15.258,2821739.0,84.742,41.45618,Oceania
475,New Zealand,NZL,1991,17.4,6.917264455952621,8.0,12465229068.1972,12230.0882500412,39869457573.7115,76.0317073170732,9619000000.0,8381000000.0,2.09808169169807,8.7,15.067,2968493.0,84.933,40.464573,Oceania
476,New Zealand,NZL,1992,17.28,7.115539541863691,7.85,12991092354.3173,11793.161462433898,38955231816.2484,76.1243902439025,9785000000.0,9201000000.0,2.86030330062444,8.2,14.966,3003146.0,85.034,37.51461,Oceania
477,New Zealand,NZL,1993,16.53,7.5317112703656,7.6,14314735910.6244,13094.322241958998,43406891211.7693,76.4341463414634,10542000000.0,9636000000.0,4.03419131436927,7.8,14.866,3041157.0,85.134,40.294605,Oceania
478,New Zealand,NZL,1994,15.95,7.28942872928177,7.48,17025126259.2344,15280.2421339277,51562366444.8379,76.8829268292683,12185000000.0,11913000000.0,6.601496210349281,7.5,14.766,3085471.0,85.234,41.252308,Oceania
479,New Zealand,NZL,1995,15.77,7.390102085261611,7.49,18787990900.6376,17400.338874611498,59902364505.8448,76.7341463414634,13645000000.0,13957000000.0,9.93181063710524,7.1,14.667,3134622.0,85.333,42.104042,Oceania
480,New Zealand,NZL,1996,15.34,7.70836414790997,7.57,19884232066.0469,18794.5078516466,64917441376.4396,76.7878048780488,14360000000.0,14724000000.0,13.2567840139541,6.9,14.579,3187912.0,85.421,39.54181,Oceania
481,New Zealand,NZL,1997,15.23,8.19069685028958,7.26,18712853684.675,17474.1760599056,62114984555.2544,77.33414634146341,14221000000.0,14519000000.0,15.0900914706869,6.6,14.515,3232444.0,85.485,35.606514,Oceania
482,New Zealand,NZL,1998,14.51,7.85112870249017,6.87,16652730091.0574,14738.4800207116,53652297489.3415,78.0853658536585,12070000000.0,12495000000.0,20.8803030022704,6.4,14.451,3263694.0,85.549,38.757664,Oceania
483,New Zealand,NZL,1999,14.87,8.53093113608511,7.33,18187479007.7326,15322.245999552,55246250454.0973,77.890243902439,12455000000.0,14299000000.0,36.543512845372206,6.2,14.387,3283344.0,85.613,35.643353,Oceania
484,New Zealand,NZL,2000,14.66,8.52753117142339,6.91,18810238703.7281,13641.0560259004,49633337724.4983,78.6365853658537,13272000000.0,13906000000.0,39.9685642835518,6.1,14.323,3305162.0,85.677,36.374214,Oceania
485,New Zealand,NZL,2001,14.36,8.89321917278701,7.16,19087557173.9494,13882.8949661011,51147245940.0636,78.6926829268293,13730000000.0,13308000000.0,58.5642992748317,5.9,14.236,3328072.0,85.764,32.730766,Oceania
486,New Zealand,NZL,2002,13.67,8.4085141192858,7.1,21885124451.6733,16895.4540659785,63355019961.5555,78.84634146341459,14383000000.0,15047000000.0,61.8131989478884,5.8,14.1,3391762.0,85.9,35.126747,Oceania
487,New Zealand,NZL,2003,13.94,8.42721617997616,6.95,26334009771.5891,21941.0582092097,84167582753.1452,79.14634146341459,16527000000.0,18559000000.0,64.6403890262059,5.7,14.0,3463392.0,86.0,34.357147,Oceania
488,New Zealand,NZL,2004,14.2,8.50385149847095,6.95,30697059899.1597,25461.1340621386,98219159663.8655,79.5487804878049,20344000000.0,23195000000.0,74.2080005883687,5.5,13.974,3516313.0,86.026,37.794468,Oceania
489,New Zealand,NZL,2005,13.96,8.20526621350299,6.54,32448547067.521,27833.603111277705,107649088220.798,79.85121951219509,21730098000.0,26219355000.0,85.3870366997354,5.4,13.948,3557304.0,86.052,34.682922,Oceania
490,New Zealand,NZL,2006,14.14,8.01822157434403,6.75,33025036508.657,26630.3641512637,103947863303.288,80.0487804878049,22409180000.0,26424312000.0,90.854762940201,5.3,13.922,3602020.0,86.078,34.811123,Oceania
491,New Zealand,NZL,2007,15.14,7.96637908991903,6.74,40159143749.5407,32382.2691095373,126990519585.507,80.1512195121951,26943386000.0,30882017000.0,100.436431866496,5.3,13.896,3636861.0,86.104,35.406635,Oceania
492,New Zealand,NZL,2008,15.06,8.04453612845673,6.83,42706996907.289,30972.1195839865,122274548393.899,80.35121951219509,30580121000.0,34369315000.0,107.989694697706,5.3,13.87,3668966.0,86.13,34.397457,Oceania
493,New Zealand,NZL,2009,14.48,7.51195509691814,6.71,34875266287.7132,27998.5664382058,115491910800.175,80.7024390243902,24932601000.0,25573868000.0,108.722279577723,5.2,13.852,3706604.0,86.148,37.898605,Oceania
494,New Zealand,NZL,2010,14.62,7.29742018525754,6.51,44357497766.2487,33394.0729963486,137997550079.262,80.7024390243902,31396365000.0,30616823000.0,107.826313100142,5.1,13.835,3748781.0,86.165,38.817486,Oceania
495,New Zealand,NZL,2011,13.93,7.124050866788321,6.83,51152241665.35,37896.8539665922,158502133038.395,80.9048780487805,37668591000.0,37104897000.0,109.199911280736,5.0,13.817,3778263.0,86.183,39.533886,Oceania
496,New Zealand,NZL,2012,13.79,,6.79,50849036965.7566,,167078288011.34,81.1560975609756,37304869000.0,38253652000.0,110.362406644884,4.9,13.8,3799782.0,86.2,36.91487,Oceania
497,New Zealand,NZL,2013,13.12,,6.61,55087827318.7744,,180580252634.413,81.4073170731707,39444799000.0,39640900036.2212,105.775694716164,4.9,13.777,3830112.0,86.223,36.921745,Oceania
498,New Zealand,NZL,2014,,,,58371136443.7653,,192142022633.474,,41624050548.733,42518007211.5168,112.054689719466,4.8,13.749,3889661.0,86.251,37.536892,Oceania
499,New Zealand,NZL,2015,,,,,,,,,,,4.7,,,,38.129433,Oceania
